GO_set,Term,Overlap,P.value,Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,FDR_allGO
Biological Process,positive regulation of interleukin-18 production (GO:0032741),1/5,0.017379513575201528,0.14468996712843607,72.19565217391305,292.57021981956115,GBP5,1
Biological Process,positive regulation of macrophage proliferation (GO:0120041),1/5,0.017379513575201528,0.14468996712843607,72.19565217391305,292.57021981956115,CSF1R,1
Biological Process,positive regulation of MHC class I biosynthetic process (GO:0045345),1/5,0.017379513575201528,0.14468996712843607,72.19565217391305,292.57021981956115,CIITA,1
Biological Process,positive regulation of protein localization to cell cortex (GO:1904778),1/5,0.017379513575201528,0.14468996712843607,72.19565217391305,292.57021981956115,EPB41,1
Biological Process,mammary gland duct morphogenesis (GO:0060603),1/5,0.017379513575201528,0.14468996712843607,72.19565217391305,292.57021981956115,CSF1R,1
Biological Process,metanephric mesenchymal cell differentiation (GO:0072162),1/5,0.017379513575201528,0.14468996712843607,72.19565217391305,292.57021981956115,STAT1,1
Biological Process,positive thymic T cell selection (GO:0045059),1/5,0.017379513575201528,0.14468996712843607,72.19565217391305,292.57021981956115,CD3E,1
Biological Process,T cell receptor signaling pathway (GO:0050852),3/158,0.018002918991573122,0.14468996712843607,5.712566201251805,22.94864300998318,BTN2A2;PRKCQ;CD3E,1
Biological Process,positive regulation of tyrosine phosphorylation of STAT protein (GO:0042531),2/59,0.018170554295048765,0.14468996712843607,10.25438596491228,41.099095873322995,CSF1R;IFNG,1
Biological Process,glucose metabolic process (GO:0006006),2/62,0.0199478537338537,0.14468996712843607,9.740196078431373,38.12930004404505,PGK1;GAPDH,1
Biological Process,positive regulation of interleukin-1 production (GO:0032732),2/62,0.0199478537338537,0.14468996712843607,9.740196078431373,38.12930004404505,GBP5;IFNG,1
Biological Process,actin cytoskeleton reorganization (GO:0031532),2/63,0.020555886945753842,0.14468996712843607,9.580038572806172,37.21469361500702,GRB2;PARVB,1
Biological Process,negative regulation of endopeptidase activity (GO:0010951),2/63,0.020555886945753842,0.14468996712843607,9.580038572806172,37.21469361500702,TIMP1;GAPDH,1
Biological Process,negative regulation of peptidase activity (GO:0010466),2/63,0.020555886945753842,0.14468996712843607,9.580038572806172,37.21469361500702,TIMP1;GAPDH,1
Biological Process,positive regulation of Ras protein signal transduction (GO:0046579),2/63,0.020555886945753842,0.14468996712843607,9.580038572806172,37.21469361500702,ARHGEF3;GRB2,1
Biological Process,regulation of digestive system process (GO:0044058),1/6,0.020819530478468958,0.14468996712843607,57.7536231884058,223.6141610659621,EPB41,1
Biological Process,negative regulation of trophoblast cell migration (GO:1901164),1/6,0.020819530478468958,0.14468996712843607,57.7536231884058,223.6141610659621,TIMP1,1
Biological Process,regulation of macromolecule biosynthetic process (GO:0010556),1/6,0.020819530478468958,0.14468996712843607,57.7536231884058,223.6141610659621,TNFRSF1B,1
Biological Process,regulation of macrophage proliferation (GO:0120040),1/6,0.020819530478468958,0.14468996712843607,57.7536231884058,223.6141610659621,CSF1R,1
Biological Process,peptide antigen assembly with MHC protein complex (GO:0002501),1/6,0.020819530478468958,0.14468996712843607,57.7536231884058,223.6141610659621,HLA-DMB,1
Biological Process,positive regulation of cell-cell adhesion mediated by integrin (GO:0033634),1/6,0.020819530478468958,0.14468996712843607,57.7536231884058,223.6141610659621,CD3E,1
Biological Process,regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell (GO:2001188),1/6,0.020819530478468958,0.14468996712843607,57.7536231884058,223.6141610659621,HLA-DMB,1
Biological Process,foam cell differentiation (GO:0090077),1/6,0.020819530478468958,0.14468996712843607,57.7536231884058,223.6141610659621,STAT1,1
Biological Process,regulation of vitamin D biosynthetic process (GO:0060556),1/6,0.020819530478468958,0.14468996712843607,57.7536231884058,223.6141610659621,IFNG,1
Biological Process,positive regulation of killing of cells of other organism (GO:0051712),1/6,0.020819530478468958,0.14468996712843607,57.7536231884058,223.6141610659621,IFNG,1
Biological Process,inclusion body assembly (GO:0070841),1/6,0.020819530478468958,0.14468996712843607,57.7536231884058,223.6141610659621,UBD,1
Biological Process,signal complex assembly (GO:0007172),1/6,0.020819530478468958,0.14468996712843607,57.7536231884058,223.6141610659621,CD3E,1
Biological Process,macrophage derived foam cell differentiation (GO:0010742),1/6,0.020819530478468958,0.14468996712843607,57.7536231884058,223.6141610659621,STAT1,1
Biological Process,mesenchymal cell differentiation involved in kidney development (GO:0072161),1/6,0.020819530478468958,0.14468996712843607,57.7536231884058,223.6141610659621,STAT1,1
Biological Process,regulation of innate immune response (GO:0045088),2/64,0.021171619899258094,0.14468996712843607,9.425047438330171,36.334440795669934,GBP5;IRF1,1
Biological Process,positive regulation of T cell proliferation (GO:0042102),2/66,0.022425946515661713,0.14468996712843607,9.129595588235293,34.66997397264529,HLA-DMB;CD3E,1
Biological Process,positive regulation of apoptotic process (GO:0043065),4/310,0.023340677202868483,0.14468996712843607,3.886710239651416,14.60453774712939,RASSF2;RASGRF2;UBD;ARHGEF3,1
Biological Process,regulation of tyrosine phosphorylation of STAT protein (GO:0042509),2/68,0.023710359704509777,0.14468996712843607,8.85204991087344,33.122982836017705,CSF1R;IFNG,1
Biological Process,regulation by virus of viral protein levels in host cell (GO:0046719),1/7,0.0242476771638985,0.14468996712843607,48.1256038647343,179.00002909758112,STAT1,1
Biological Process,regulation of calcidiol 1-monooxygenase activity (GO:0060558),1/7,0.0242476771638985,0.14468996712843607,48.1256038647343,179.00002909758112,IFNG,1
Biological Process,negative regulation of membrane protein ectodomain proteolysis (GO:0051045),1/7,0.0242476771638985,0.14468996712843607,48.1256038647343,179.00002909758112,TIMP1,1
Biological Process,negative regulation of neurotransmitter secretion (GO:0046929),1/7,0.0242476771638985,0.14468996712843607,48.1256038647343,179.00002909758112,PNKD,1
Biological Process,negative regulation of T cell apoptotic process (GO:0070233),1/7,0.0242476771638985,0.14468996712843607,48.1256038647343,179.00002909758112,PRKCQ,1
Biological Process,regulation of metallopeptidase activity (GO:1905048),1/7,0.0242476771638985,0.14468996712843607,48.1256038647343,179.00002909758112,TIMP1,1
Biological Process,regulation of MHC class I biosynthetic process (GO:0045343),1/7,0.0242476771638985,0.14468996712843607,48.1256038647343,179.00002909758112,CIITA,1
Biological Process,delamination (GO:0060232),1/7,0.0242476771638985,0.14468996712843607,48.1256038647343,179.00002909758112,AKNA,1
Biological Process,phospholipase C-activating dopamine receptor signaling pathway (GO:0060158),1/7,0.0242476771638985,0.14468996712843607,48.1256038647343,179.00002909758112,GNA15,1
Biological Process,histone H3-K14 acetylation (GO:0044154),1/7,0.0242476771638985,0.14468996712843607,48.1256038647343,179.00002909758112,BRPF1,1
Biological Process,positive regulation of interleukin-23 production (GO:0032747),1/7,0.0242476771638985,0.14468996712843607,48.1256038647343,179.00002909758112,IFNG,1
Biological Process,monoacylglycerol catabolic process (GO:0052651),1/7,0.0242476771638985,0.14468996712843607,48.1256038647343,179.00002909758112,ABHD12,1
Biological Process,positive regulation of cell population proliferation (GO:0008284),5/474,0.025167872088276217,0.14468996712843607,3.191897654584222,11.753164096902761,CSF1R;CCND2;IFNG;STAT1;TIMP1,1
Biological Process,regulation of endopeptidase activity (GO:0052548),2/71,0.025692367395943758,0.14468996712843607,8.465899403239556,30.99840979116548,TIMP1;GAPDH,1
Biological Process,negative regulation of gene expression (GO:0010629),4/322,0.026362102521190787,0.14468996712843607,3.737754907566228,13.58983324259648,IFNG;BTN2A2;CD3E;GAPDH,1
Biological Process,extrinsic apoptotic signaling pathway (GO:0097191),2/72,0.02636757503996867,0.14468996712843607,8.344537815126051,30.33757058989709,IFNG;TNFRSF1B,1
Biological Process,antigen receptor-mediated signaling pathway (GO:0050851),3/185,0.027119856863667476,0.14468996712843607,4.858454977857963,17.526823345400377,BTN2A2;PRKCQ;CD3E,1
Biological Process,regulation of alpha-beta T cell proliferation (GO:0046640),1/8,0.02766399371512237,0.14468996712843607,41.24844720496895,147.9839017165653,IRF1,1
Biological Process,"regulation of CD8-positive, alpha-beta T cell proliferation (GO:2000564)",1/8,0.02766399371512237,0.14468996712843607,41.24844720496895,147.9839017165653,IRF1,1
Biological Process,regulation of extracellular matrix constituent secretion (GO:0003330),1/8,0.02766399371512237,0.14468996712843607,41.24844720496895,147.9839017165653,TNFRSF1B,1
Biological Process,cellular response to interleukin-21 (GO:0098757),1/8,0.02766399371512237,0.14468996712843607,41.24844720496895,147.9839017165653,STAT1,1
Biological Process,regulation of interleukin-18 production (GO:0032661),1/8,0.02766399371512237,0.14468996712843607,41.24844720496895,147.9839017165653,GBP5,1
Biological Process,regulation of intrinsic apoptotic signaling pathway by p53 class mediator (GO:1902253),1/8,0.02766399371512237,0.14468996712843607,41.24844720496895,147.9839017165653,PTTG1IP,1
Biological Process,regulation of nitrogen compound metabolic process (GO:0051171),1/8,0.02766399371512237,0.14468996712843607,41.24844720496895,147.9839017165653,IFNG,1
Biological Process,regulation of protein ADP-ribosylation (GO:0010835),1/8,0.02766399371512237,0.14468996712843607,41.24844720496895,147.9839017165653,IFNG,1
Biological Process,regulation of protein localization to cell cortex (GO:1904776),1/8,0.02766399371512237,0.14468996712843607,41.24844720496895,147.9839017165653,EPB41,1
Biological Process,entry of bacterium into host cell (GO:0035635),1/8,0.02766399371512237,0.14468996712843607,41.24844720496895,147.9839017165653,GRB2,1
Biological Process,regulation of RNA biosynthetic process (GO:2001141),1/8,0.02766399371512237,0.14468996712843607,41.24844720496895,147.9839017165653,TNFRSF1B,1
Biological Process,positive regulation of melanin biosynthetic process (GO:0048023),1/8,0.02766399371512237,0.14468996712843607,41.24844720496895,147.9839017165653,ZEB2,1
Biological Process,interleukin-21-mediated signaling pathway (GO:0038114),1/8,0.02766399371512237,0.14468996712843607,41.24844720496895,147.9839017165653,STAT1,1
Biological Process,positive regulation of oligodendrocyte differentiation (GO:0048714),1/8,0.02766399371512237,0.14468996712843607,41.24844720496895,147.9839017165653,TNFRSF1B,1
Biological Process,positive regulation of secondary metabolite biosynthetic process (GO:1900378),1/8,0.02766399371512237,0.14468996712843607,41.24844720496895,147.9839017165653,ZEB2,1
Biological Process,positive regulation of steroid biosynthetic process (GO:0010893),1/8,0.02766399371512237,0.14468996712843607,41.24844720496895,147.9839017165653,IFNG,1
Biological Process,negative regulation of amyloid-beta clearance (GO:1900222),1/8,0.02766399371512237,0.14468996712843607,41.24844720496895,147.9839017165653,IFNG,1
Biological Process,positive regulation of lymphocyte proliferation (GO:0050671),2/75,0.02843601186580257,0.14675452775849865,8.000402900886382,28.482225676079796,HLA-DMB;CD3E,1
Biological Process,negative regulation of blood vessel morphogenesis (GO:2000181),2/78,0.030567483298969404,0.14675452775849865,7.68343653250774,26.79843186891491,STAT1;PGK1,1
Biological Process,cellular response to tumor necrosis factor (GO:0071356),3/194,0.03061460519077033,0.14675452775849865,4.627412674845667,16.13244742205554,STAT1;TNFRSF25;TNFRSF1B,1
Biological Process,regulation of programmed cell death (GO:0043067),3/194,0.03061460519077033,0.14675452775849865,4.627412674845667,16.13244742205554,STAT1;TNFRSF25;CD3E,1
Biological Process,actin-mediated cell contraction (GO:0070252),1/9,0.03106852017034062,0.14675452775849865,36.09057971014493,125.29061959707016,CCDC88C,1
Biological Process,"regulation of CD8-positive, alpha-beta T cell activation (GO:2001185)",1/9,0.03106852017034062,0.14675452775849865,36.09057971014493,125.29061959707016,IRF1,1
Biological Process,cellular response to interleukin-9 (GO:0071355),1/9,0.03106852017034062,0.14675452775849865,36.09057971014493,125.29061959707016,STAT1,1
Biological Process,regulation of interleukin-23 production (GO:0032667),1/9,0.03106852017034062,0.14675452775849865,36.09057971014493,125.29061959707016,IFNG,1
Biological Process,regulation of leukocyte degranulation (GO:0043300),1/9,0.03106852017034062,0.14675452775849865,36.09057971014493,125.29061959707016,ADGRE2,1
Biological Process,regulation of protein deacetylation (GO:0090311),1/9,0.03106852017034062,0.14675452775849865,36.09057971014493,125.29061959707016,IFNG,1
Biological Process,plasminogen activation (GO:0031639),1/9,0.03106852017034062,0.14675452775849865,36.09057971014493,125.29061959707016,PGK1,1
Biological Process,regulation of smooth muscle cell apoptotic process (GO:0034391),1/9,0.03106852017034062,0.14675452775849865,36.09057971014493,125.29061959707016,IFNG,1
Biological Process,interleukin-9-mediated signaling pathway (GO:0038113),1/9,0.03106852017034062,0.14675452775849865,36.09057971014493,125.29061959707016,STAT1,1
Biological Process,positive regulation of NLRP3 inflammasome complex assembly (GO:1900227),1/9,0.03106852017034062,0.14675452775849865,36.09057971014493,125.29061959707016,GBP5,1
Biological Process,sympathetic ganglion development (GO:0061549),1/9,0.03106852017034062,0.14675452775849865,36.09057971014493,125.29061959707016,FZD3,1
Biological Process,positive regulation of smooth muscle cell apoptotic process (GO:0034393),1/9,0.03106852017034062,0.14675452775849865,36.09057971014493,125.29061959707016,IFNG,1
